iter	Passed	Remaining
1313	63756	57545
1314	63805	57497
1315	63853	57448
1316	63903	57401
1317	63950	57351
1318	63999	57303
1319	64049	57256
1320	64097	57206
1321	64145	57157
1322	64194	57109
1323	64242	57061
1324	64288	57010
1325	64338	56963
1326	64387	56915
1327	64437	56868
1328	64486	56819
1329	64534	56771
1330	64580	56720
1331	64628	56671
1332	64676	56621
1333	64723	56572
1334	64772	56523
1335	64819	56474
1336	64867	56425
1337	64915	56376
1338	64962	56326
1339	65010	56277
1340	65058	56228
1341	65107	56180
1342	65156	56132
1343	65203	56083
1344	65252	56034
1345	65299	55984
1346	65356	55943
1347	65409	55898
1348	65456	55849
1349	65504	55800
1350	65552	55751
1351	65601	55702
1352	65648	55653
1353	65695	55603
1354	65743	55554
1355	65791	55505
1356	65837	55455
1357	65885	55406
1358	65931	55355
1359	65978	55305
1360	66024	55255
1361	66075	55208
1362	66122	55159
1363	66171	55110
1364	66219	55061
1365	66268	55013
1366	66314	54963
1367	66365	54916
1368	66414	54868
1369	66463	54820
1370	66509	54769
1371	66557	54720
1372	66604	54670
1373	66652	54621
1374	66703	54575
1375	66752	54527
1376	66801	54479
1377	66849	54430
1378	66896	54380
1379	66943	54330
1380	67008	54295
1381	67070	54258
1382	67119	54210
1383	67164	54158
1384	67214	54111
1385	67262	54062
1386	67310	54013
1387	67356	53962
1388	67404	53913
1389	67454	53866
1390	67502	53817
1391	67551	53769
1392	67599	53720
1393	67646	53670
1394	67694	53621
1395	67742	53573
1396	67795	53528
1397	67841	53477
1398	67890	53429
1399	67940	53381
1400	67986	53331
1401	68037	53284
1402	68085	53235
1403	68136	53189
1404	68185	53141
1405	68230	53089
1406	68276	53039
1407	68323	52989
1408	68371	52940
1409	68419	52891
1410	68467	52842
1411	68515	52793
1412	68562	52744
1413	68609	52694
1414	68656	52644
1415	68701	52593
1416	68746	52542
1417	68793	52492
1418	68844	52446
1419	68890	52395
1420	68939	52347
1421	68988	52299
1422	69035	52249
1423	69082	52199
1424	69130	52151
1425	69176	52100
1426	69222	52049
1427	69270	52001
1428	69318	51952
1429	69365	51903
1430	69412	51853
1431	69460	51804
1432	69506	51753
1433	69554	51705
1434	69601	51655
1435	69651	51608
1436	69700	51559
1437	69749	51512
1438	69798	51463
1439	69847	51415
1440	69896	51367
1441	69944	51318
1442	69992	51269
1443	70044	51223
1444	70090	51173
1445	70141	51126
1446	70189	51077
1447	70239	51030
1448	70285	50979
1449	70333	50931
1450	70381	50882
1451	70427	50832
1452	70476	50783
1453	70521	50733
1454	70566	50681
1455	70614	50632
1456	70659	50581
1457	70707	50532
1458	70753	50483
1459	70803	50435
1460	70849	50385
1461	70899	50337
1462	70948	50289
1463	70995	50240
1464	71043	50191
1465	71089	50140
1466	71153	50103
1467	71202	50055
1468	71252	50007
1469	71301	49959
1470	71348	49910
1471	71395	49860
1472	71441	49810
1473	71488	49760
1474	71537	49712
1475	71583	49662
1476	71631	49613
1477	71679	49564
1478	71729	49516
1479	71778	49468
1480	71826	49419
1481	71873	49370
1482	71922	49322
1483	71966	49270
1484	72015	49222
1485	72061	49172
1486	72112	49125
1487	72160	49076
1488	72209	49028
1489	72254	48977
1490	72304	48930
1491	72352	48881
1492	72401	48833
1493	72450	48785
1494	72497	48735
1495	72542	48685
1496	72590	48636
1497	72636	48586
1498	72685	48537
1499	72735	48490
1500	72784	48442
1501	72834	48394
1502	72882	48346
1503	72932	48298
1504	72981	48250
1505	73029	48201
1506	73079	48153
1507	73128	48105
1508	73178	48057
1509	73244	48021
1510	73294	47973
1511	73340	47923
1512	73387	47874
1513	73432	47823
1514	73481	47774
1515	73529	47726
1516	73577	47677
1517	73626	47629
1518	73676	47581
1519	73725	47533
1520	73773	47484
1521	73818	47434
1522	73866	47385
1523	73913	47335
1524	73959	47285
1525	74008	47237
1526	74054	47187
1527	74102	47138
